Page Title,Page,Unique Page Views
"Leadership Statement: Talk less, listen more | Civil Service",civilservice.blog.gov.uk/2015/02/25/talklesslistenmore/,"10,650"
A new drug driving law comes into force in March 2015 | Inside DVLA,insidedvla.blog.gov.uk/2014/12/19/a-new-drug-driving-law-comes-into-force-in-march-2015/,"10,566"
Predictive analytics: the science of non-compliance | Civil Service Quarterly,quarterly.blog.gov.uk/2015/01/27/predictive_analytics/,"10,461"
Social mobility in the Civil Service | Civil Service,civilservice.blog.gov.uk/2015/04/28/social-mobility-in-the-civil-service/,"10,346"
Experience: The best teacher | Civil Service,civilservice.blog.gov.uk/2015/03/03/experience-the-best-teacher/,"10,292"
Civil Service Leaders | Civil Service,civilservice.blog.gov.uk/category/civil-service-leaders/,"9,433"
Jobs | The Ofqual blog,ofqual.blog.gov.uk/jobs/,"8,919"
Horror story: Track rod ends | Matters of Testing,mattersoftesting.blog.gov.uk/horror-story-track-rod-ends/,"8,760"
Knocking down the Towers of SIAM | Government technology,governmenttechnology.blog.gov.uk/2015/02/18/knocking-down-the-towers-of-siam/,"8,406"
GDS team | Government Digital Service,gds.blog.gov.uk/category/gds/,"8,368"
Empowerment: advice from a pot to a kettle! | Civil Service,civilservice.blog.gov.uk/2015/03/24/empowerment-advice-from-a-pot-to-a-kettle/,"8,333"
Do you know your responsibilities as an Authorised Examiner? | Matters of Testing,mattersoftesting.blog.gov.uk/do-you-know-your-responsibilities-as-an-authorised-examiner/,"8,172"
Using technology to change the way we work | Civil Service Quarterly,quarterly.blog.gov.uk/2015/03/19/using-technology-to-change-the-way-we-work/,"8,044"
Share driving licence | DVLA digital services,dvladigital.blog.gov.uk/category/share-my-driving-record/,"7,752"
Forging ahead with the functions | Civil Service,civilservice.blog.gov.uk/2015/04/16/forging-ahead-with-the-functions/,"7,426"
The opportunity to improve your leadership skills and 9 other surprising facts about joining the Reserves | Civil Service,civilservice.blog.gov.uk/2015/01/08/the-opportunity-to-improve-your-leadership-skills-and-9-other-surprising-facts-about-joining-the-reserves/,"7,407"
Get ready to begin your application for the new Basic Payment Scheme | CAP reform,capreform.blog.gov.uk/2014/09/25/get-ready-to-begin-your-application-for-the-new-basic-payment-scheme/,"7,355"
"Overseas, not overlooked â€“ civil servants promoting UK interests in high-risk areas | Civil Service",civilservice.blog.gov.uk/2015/01/07/overseas-not-overlooked-civil-servants-promoting-uk-interests-in-high-risk-areas/,"7,322"
You can now book a prison visit online | Government Digital Service,gds.blog.gov.uk/2014/09/15/you-can-now-book-a-prison-visit-online/,"7,292"
GOV.UK isnâ€™t finished | Government Digital Service,gds.blog.gov.uk/2015/03/06/gov-uk-isnt-finished/,"7,066"
Moving On,movingon.blog.gov.uk/,"7,020"
Talent Action Plan: Progress Update and Refreshed Priorities | Civil Service,civilservice.blog.gov.uk/2015/03/26/talent-action-plan-progress-update-and-refreshed-priorities/,"7,014"
â€œA perfect nuisanceâ€ù: The history of women in the Civil Service | History of government,history.blog.gov.uk/2015/05/26/a-perfect-nuisance-the-history-of-women-in-the-civil-service/,"6,897"
National College for Teaching and Leadership (NCTL),nctl.blog.gov.uk/,"6,814"
Championing gender diversity | Civil Service,civilservice.blog.gov.uk/2015/01/26/championing-gender-diversity/,"6,792"
Inside GOV.UK,insidegovuk.blog.gov.uk/,"6,724"
Hints and tips for GOV.UK Verify | CAP reform,capreform.blog.gov.uk/verify/,"6,698"
Businesses invited to use our Share Driving Licence in private beta | DVLA digital services,dvladigital.blog.gov.uk/2015/03/20/share-driving-licence-private-beta-blog/,"6,684"
5 ways to find the right volunteering opportunity for you | Civil Service,civilservice.blog.gov.uk/2015/01/16/5-ways-to-find-the-right-volunteering-opportunity-for-you/,"6,600"
Government as a Platform: the next phase of digital transformation | Government Digital Service,gds.blog.gov.uk/2015/03/29/government-as-a-platform-the-next-phase-of-digital-transformation/,"6,592"
5 things our customers ask us about MOT | Matters of Testing,mattersoftesting.blog.gov.uk/5-things-our-customers-ask-us-about-mot/,"6,539"
Guest blog from Robert Hannigan on promoting diversity in GCHQ | Civil Service,civilservice.blog.gov.uk/2015/05/29/guest-blog-from-robert-hannigan-on-promoting-diversity-in-gchq/,"6,462"
10 tips for successful school-led research projects | National College for Teaching and Leadership (NCTL),nctl.blog.gov.uk/2015/02/16/10-tips-for-successful-school-led-research-projects/,"6,440"
The real-time rewards of project management: my 5 top tips for successful projects | Civil Service,civilservice.blog.gov.uk/2015/02/06/the-real-time-rewards-of-project-management-my-5-top-tips-for-successful-projects/,"6,440"
Inside DVLA,insidedvla.blog.gov.uk/,"6,412"
Ramadan in the Civil Service | Civil Service,civilservice.blog.gov.uk/2015/06/19/ramadan-in-the-civil-service/,"6,362"
DVLA works with the police and HM Revenue and Customs to crack down on illegal foreign registered vehicles | Inside DVLA,insidedvla.blog.gov.uk/2015/01/30/dvla-works-with-the-police-and-hm-revenue-and-customs-to-crack-down-on-illegal-foreign-registered-vehicles/,"6,262"
5 tips for surviving Mid-Year reviews | Civil Service,civilservice.blog.gov.uk/2014/09/22/surviving-mid-year-reviews/,"6,184"
60 second interviews | Civil Service,civilservice.blog.gov.uk/tag/60-second-interviews/,"6,138"
G-Cloud 6 | Digital Marketplace,digitalmarketplace.blog.gov.uk/tag/g-cloud-6/,"6,080"
Rural Payments â€“ whatâ€™s happening when? | CAP reform,capreform.blog.gov.uk/2015/01/20/rural-payments-whats-happening-when/,"6,042"
"Energy, Climate Change and the Queen's Speech | Department of Energy and Climate Change blog",decc.blog.gov.uk/2015/05/27/energy-climate-change-and-the-queens-speech/,"5,829"
All testers and VTS roles to add email addresses to VTS device | Matters of Testing,mattersoftesting.blog.gov.uk/all-testers-and-vts-roles-to-add-email-addresses-to-vts-device/,"5,789"
Open Policy Making,openpolicy.blog.gov.uk/,"5,713"
A living style guide for GOV.UK | Technology at GDS,gdstechnology.blog.gov.uk/2014/12/11/govuk-living-style-guide/,"5,687"
Top 3 MOT fail items | Matters of Testing,mattersoftesting.blog.gov.uk/top-3-mot-failure-items/,"5,615"
The biggest learning opportunity of the year â€“ Civil Service Live 2015 is coming | Civil Service,civilservice.blog.gov.uk/2015/06/26/the-biggest-learning-opportunity-of-the-year-civil-service-live-2015-is-coming/,"5,507"
How a MOOC is helping to build commercial capability in the Civil Service | Civil Service,civilservice.blog.gov.uk/2015/05/13/how-a-mooc-is-helping-to-build-commercial-capability-in-the-civil-service/,"5,488"
MHRA Inspectorate,mhrainspectorate.blog.gov.uk/,"5,471"
Pupil premium reviews: using system leaders | National College for Teaching and Leadership (NCTL),nctl.blog.gov.uk/2015/01/21/pupil-premium-reviews-using-system-leaders/,"5,459"
,,"4,417,719"
